"","Trial 1","Trial 2","Trial 3"
"mussel_size","54.59 (2.69)","57.1 (1.56)","55.13 (1.61)"
"ele","0.73 (0.11)","0.73 (0.11)","0.73 (0.11)"
"head","20.68 (13.44)","20.68 (13.44)","20.68 (13.44)"
"main","59.16 (42.85)","59.16 (42.85)","59.16 (42.85)"
"mean_water_temp","16.13 (0.45)","26.49 (0.62)","19.55 (1.55)"
"mean_sal","19.92 (2.46)","24.77 (1.67)","28.09 (1.44)"
"mean_bact","47.75 (18.58)","72.44 (44.62)","46.83 (38.15)"
"mean_chla","5.82 (2.62)","9.33 (4.22)","7.91 (3.42)"
"mean_om","14.65 (6.5)","13.51 (5.95)","6.6 (3.86)"
"sub_prop","0.33 (0.04)","0.33 (0.04)","0.33 (0.04)"
"flow_rate","0.21 (0.04)","0.21 (0.04)","0.21 (0.04)"
"gd_density_max_sum","15.13 (21.32)","15.13 (21.32)","15.13 (21.32)"
"sa_density","26.8 (11.77)","27.9 (7.63)","33 (9.99)"
"sa_height","64.39 (19)","74.79 (21.98)","71.36 (21.3)"
