"","Trial 1","Trial 2","Trial 3"
"ele","0.73 (0.12)","0.73 (0.12)","0.73 (0.12)"
"head","20.68 (13.44)","20.68 (13.44)","20.68 (13.44)"
"main","59.16 (42.85)","59.16 (42.85)","59.16 (42.85)"
"mean_water_temp","16.13 (0.45)","26.49 (0.62)","19.55 (1.55)"
"mean_sal","19.92 (2.46)","24.77 (1.67)","28.09 (1.44)"
"sub_prop","0.33 (0.04)","0.33 (0.04)","0.33 (0.04)"
"flow_rate","0.21 (0.04)","0.21 (0.04)","0.21 (0.04)"
"burrow","24.2 (13.42)","25.34 (14.12)","18.3 (12.62)"
"gd_density_max_sum","15.13 (21.32)","15.13 (21.32)","15.13 (21.32)"
"sa_density","26.4 (10.8)","28.03 (9.92)","33.37 (12.58)"
"sa_height","67.66 (24.12)","81.29 (30.88)","71.45 (27.23)"
